City_ID,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
349,alo,23.12,6.7371,7.4178,97,1.35,97
350,couvin,13.48,4.495,50.0528,100,2.83,99
351,chivhu,8.7,30.8922,-19.0211,0,2.29,58
352,boali,23.59,18.1275,4.8005,100,0.94,70
353,kulhudhuffushi,28.21,73.07,6.6221,100,4.29,78
354,heyuan,30.33,114.6833,23.7333,100,3.4,74
355,yangjiang,30.29,111.9667,21.85,96,5.96,77
356,sal rei,22.11,-22.9167,16.1833,43,7.12,88
357,sarmiento,4.19,-69.07,-45.5882,53,13.4,60
358,the bottom,27.31,-63.2492,17.6259,7,11.26,78
359,kununurra,30.99,128.7333,-15.7667,17,6.17,42
360,l'govskiy,19.04,35.2775,51.6307,23,1.07,84
361,moroto,19.56,34.6666,2.5345,92,2.05,67
362,la libertad,22.76,-80.9,-2.2333,17,3.03,81
363,plymstock,13.43,-4.0905,50.36,99,3.64,84
364,tchintabaraden,32.35,5.7985,15.8969,100,6.61,42
365,loango,20.81,11.8312,-4.6719,75,0.0,100
366,khovd,26.98,91.6419,48.0056,99,4.75,27
367,horta,20.57,-28.6333,38.5333,0,7.6,85
368,timaru,9.49,171.25,-44.4,100,7.27,90
369,chu,25.74,73.7614,43.5983,66,4.92,37
370,mount pearl,15.14,-52.7813,47.5166,100,6.69,93
371,idil,22.96,41.8895,37.3411,0,1.03,29
372,vylkove,19.59,29.586,45.4021,0,1.84,61
373,flin flon,19.8,-101.865,54.7682,10,2.09,49
374,carnarvon,18.96,113.6333,-24.8667,0,7.25,57
375,montella,19.14,15.0179,40.8437,8,0.59,91
376,coxen hole,28.6,-86.5366,16.3244,20,8.75,79
377,bubaque,27.3,-15.8333,11.2833,100,5.5,84
378,suva,26.71,178.4415,-18.1416,40,4.63,61
379,vorkuta,3.56,64.0,67.5,34,4.69,69
380,minas de marcona,12.7,-75.1103,-15.2119,15,4.78,84
381,manthani,25.42,79.6667,18.65,100,1.51,86
382,castillos,4.79,-53.8333,-34.1667,24,4.98,76
383,cutral-co,9.95,-69.2089,-38.9469,21,2.76,10
384,kutum,25.6,24.6667,14.2,89,2.77,39
385,santa maria del oro,27.53,-105.3667,25.9333,44,7.13,32
386,mount darwin,11.48,31.5838,-16.7725,20,1.21,71
387,colby,20.81,-101.0524,39.3958,100,7.2,83
388,kolonia,15.9,6.95,50.9333,75,1.54,90
389,copala,25.81,-98.9833,16.65,100,0.62,87
390,taltal,17.55,-70.4833,-25.4,0,1.92,56
391,kalabo,11.96,22.6814,-14.97,0,2.26,52
392,cerklje na gorenjskem,17.4,14.4886,46.2542,0,0.51,92
393,daye,26.86,114.95,30.0833,97,2.3,90
394,kabinda,18.91,24.4833,-6.1333,38,2.16,50
395,palmares do sul,6.45,-50.5097,-30.2578,0,3.52,77
396,pathein,26.18,94.7333,16.7833,100,1.75,92
397,soligalich,14.81,42.2864,59.0778,98,1.94,78
398,kurumkan,28.5,110.3,54.3,8,1.21,43
399,mao,22.31,4.2658,39.8885,0,2.06,94
400,kushiro,19.53,144.3747,42.975,100,2.57,100
401,essaouira,20.72,-9.77,31.5125,0,3.6,73
402,tuapse,19.68,39.0742,44.1125,21,2.4,60
403,alenquer,25.05,-54.7383,-1.9417,49,1.5,83
404,kabansk,28.57,106.6528,52.0486,6,1.82,41
405,sungai penuh,23.78,101.3833,-2.0833,28,0.45,71
406,chibougamau,15.79,-74.3659,49.9168,0,5.14,55
407,puerto francisco de orellana,22.1,-76.9667,-0.4667,60,0.31,99
408,poli,12.27,36.8,-3.3333,50,0.92,95
409,revda,14.14,59.9303,56.801,94,2.6,89
410,tezu,23.67,96.1667,27.9167,100,0.79,98
411,salekhard,9.08,66.6019,66.53,47,3.06,56
412,howrah,29.0,88.3103,22.5892,75,2.06,89
413,tipasa,22.74,2.4475,36.5897,96,0.94,64
414,wanning,30.69,110.3967,18.8003,76,6.08,76
415,goure,32.17,10.2704,13.9835,100,3.37,39
416,frankfurt (oder),16.83,14.5506,52.3471,100,1.34,94
417,portland,25.09,-122.6762,45.5234,75,2.06,53
418,terenozek,17.63,64.9833,45.05,3,5.48,49
419,port lincoln,12.29,135.8667,-34.7333,95,1.79,67
420,itoman,31.03,127.6694,26.1247,75,6.69,84
421,bayanhongor,17.99,100.1167,46.7167,96,1.05,38
422,usogorsk,15.24,48.6872,63.4106,60,2.61,70
423,dieppe,13.34,1.1667,49.75,100,1.97,92
424,st. john's,15.6,-52.7093,47.5649,100,6.69,93
425,teknaf,27.88,92.3058,20.8624,100,7.2,87
426,salinopolis,25.68,-47.3561,-0.6136,76,4.55,88
427,benalla,10.23,145.9833,-36.55,0,0.81,51
428,taroa,27.85,171.2275,8.7058,100,5.99,80
