,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
395,upington,13.21,21.2561,-28.4478,0,4.12,41
396,douentza,35.16,-2.9517,14.9951,44,2.35,33
397,kununurra,24.99,128.7333,-15.7667,4,4.63,22
398,alaghsas,28.88,8.0168,17.0187,100,3.24,46
399,sumenep,29.99,113.8667,-7.0167,95,6.04,68
400,egilsstadir,7.95,-14.3948,65.2653,0,3.09,76
401,panama city beach,28.09,-85.8055,30.1766,0,2.06,83
402,lupane,9.09,27.807,-18.9315,0,2.57,77
403,ad dawadimi,28.64,44.3924,24.5077,3,1.76,11
404,sterling,29.58,-77.4286,39.0062,75,4.12,56
405,forster,18.49,152.5167,-32.1667,4,0.99,58
406,majene,27.66,118.9707,-3.5403,97,1.79,79
407,richards bay,15.23,32.0377,-28.783,0,2.81,81
408,starocherkasskaya,21.52,40.0419,47.2408,0,4.89,57
409,tralee,13.8,-9.7026,52.2704,11,2.09,97
410,nadi,28.0,177.4167,-17.8,75,4.63,57
411,summerside,17.15,-63.7876,46.3959,100,3.6,100
412,khadzhalmakhi,18.08,47.1821,42.42,0,1.19,76
413,chegdomyn,24.13,133.0167,51.1167,0,1.94,31
414,alo,23.86,6.7371,7.4178,100,1.42,98
415,albuquerque,26.92,-106.6511,35.0845,75,3.09,42
416,qamdo,7.76,97.2333,31.1667,100,2.5,74
417,semey,30.12,80.2275,50.4111,0,4.0,39
418,penzance,14.38,-5.5371,50.1186,3,0.75,91
419,ascension,28.32,-90.9001,30.2169,75,1.54,85
420,iskateley,10.07,53.1512,67.6803,99,5.69,69
421,melendugno,21.05,18.3368,40.2747,0,5.78,100
422,viriat,14.97,5.2157,46.2548,39,2.24,90
423,kittila,12.08,24.8936,67.6647,100,2.57,87
424,nueva palmira,8.04,-58.4167,-33.8833,65,4.2,70
425,illizi,34.89,8.4667,26.4833,15,4.06,11
426,abepura,26.45,140.5833,-2.6333,20,2.06,94
427,ridder,25.86,83.5133,50.355,100,1.13,55
428,puerto leguizamo,23.04,-74.7819,-0.1934,98,0.81,97
429,malanje,15.07,16.341,-9.5402,0,2.44,50
430,st. john's,14.99,-52.7093,47.5649,75,8.23,77
431,anar darah,29.01,61.654,32.7587,0,5.17,30
432,tshabong,10.2,22.45,-26.05,0,5.24,66
433,itaituba,24.52,-55.9836,-4.2761,17,1.08,76
434,sorong,27.78,131.25,-0.8833,89,2.21,80
435,mount pearl,14.52,-52.7813,47.5166,75,8.23,77
436,smithers,19.18,-127.1743,54.7804,40,8.23,37
437,port-vila,27.78,168.3219,-17.7338,75,3.6,74
438,goz beida,26.74,20.55,13.95,99,4.46,63
439,mont-dore,26.11,166.5833,-22.2833,75,3.23,99
440,chimoio,14.54,33.4833,-19.1164,58,3.57,94
441,seydi,29.58,62.9137,39.4816,11,3.64,23
442,ihosy,13.48,46.1167,-22.4,21,3.5,95
443,sanctuary point,15.65,150.629,-35.1114,54,2.43,41
444,sogamoso,11.22,-72.9339,5.7143,56,1.43,93
445,el nido,26.08,119.3956,11.1858,100,1.86,87
446,conde,22.7,-34.9075,-7.2597,40,1.03,100
447,natal,23.12,-35.2094,-5.795,75,1.54,94
448,mitchell,25.99,-98.0298,43.7094,0,4.12,73
449,tual,26.07,132.75,-5.6667,78,6.99,88
450,boke,24.83,-14.2967,10.9409,100,1.64,95
451,magadan,11.43,150.8,59.5667,68,3.75,81
452,witu,24.8,40.4382,-2.3889,82,6.49,76
453,okha,12.32,142.9478,53.5739,9,7.63,71
454,elliot lake,14.35,-82.6331,46.3834,100,1.97,98
455,camrose,20.74,-112.8353,53.0168,65,0.28,82
456,brookings,23.54,-96.7984,44.3114,0,3.09,69
457,kargil,12.78,76.1,34.5667,23,1.36,47
458,guane,24.86,-84.0875,22.2025,100,2.18,84
459,queenstown,9.96,26.8753,-31.8976,0,2.47,59
460,mikun',9.08,50.0771,62.3547,28,3.5,61
461,mossendjo,19.24,12.7261,-2.9506,89,1.32,99
462,villanueva,24.9,-88.0,15.3167,100,0.52,97
463,lazaro cardenas,26.8,-102.2,17.9583,78,0.3,81
464,arraial do cabo,22.76,-42.0278,-22.9661,0,6.55,81
